baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	6270.36054465604	-0.593576909475666	0.282483766731092	-2.10127794720578	0.0356165744408661	0.0731235846900347
ENSMUSG00000000003	0	NA	NA	NA	NA	NA
ENSMUSG00000000028	1085.28170987954	-0.659138026357095	0.391515453391838	-1.68355558036534	0.0922675893773459	0.164324019515212
ENSMUSG00000000031	50.5667143302198	-6.17090617868549	1.28126143611571	-4.81627402865826	1.46263628485413e-06	8.9587642182028e-06
ENSMUSG00000000037	19.7948997592894	-3.07362833334465	0.655432123958493	-4.68946855210791	2.739155253156e-06	1.58162260651924e-05
ENSMUSG00000000049	1.58886107187952	-14.3265809589463	266.282168034599	-0.0538022544456857	0.957092713335234	NA
ENSMUSG00000000056	1103.91735624007	-0.496694748787342	0.388175603156026	-1.27956199397647	0.200699223561753	0.317035560889109
ENSMUSG00000000058	59.6802642348751	1.4576178700512	0.748179305941514	1.94821997678341	0.0513886474864622	0.099548607185683
ENSMUSG00000000078	5100.07308929724	-1.11829504688155	0.174729085277008	-6.4001654052538	1.55208719668388e-10	1.961571851809e-09
ENSMUSG00000000085	657.049701491856	0.345409016580657	0.193616131809243	1.78398883064643	0.0744254801210721	0.136614386720177
ENSMUSG00000000088	2648.52908976017	3.15969133531969	0.508521240603759	6.21348939440217	5.18207314692309e-10	5.99073131376653e-09
ENSMUSG00000000093	137.958211565059	5.87116703083375	0.59461462530803	9.87390282873095	5.40208833748334e-23	3.14388405464418e-21
ENSMUSG00000000094	1.42102388930743	-15.2588089725938	260.851854172252	-0.0584960724968347	0.953353490833245	NA
ENSMUSG00000000103	0.0396535815419843	1.45586738385277	401.184647383623	0.00362892098027028	0.997104546332541	NA
ENSMUSG00000000120	3.66413157784352	5.66338214474774	2.21643631382665	2.55517476835145	0.0106134493551614	0.0253702515359893
ENSMUSG00000000125	56.2560147954414	4.62607749062918	0.760478435463718	6.08311462218956	1.1787001770677e-09	1.28084973270802e-08
ENSMUSG00000000126	105.104840708309	-14.7998241000449	276.855139807625	-0.05345692375561	0.957367851408396	0.978811683624664
ENSMUSG00000000127	6.28962616675417	-20.2211825284408	269.242606140168	-0.0751039473964739	0.940132007129433	0.978811683624664
ENSMUSG00000000131	9529.88992765719	0.103680869385456	0.23841782837282	0.43487045450027	0.66365646144467	0.844465168995136
ENSMUSG00000000134	2130.47302244993	-0.183433271093791	0.33983578819048	-0.53977031692429	0.589355439971615	0.767384468489393
ENSMUSG00000000142	1382.23856117438	0.637038229974673	0.273638671922633	2.32802704931555	0.0199106674012197	0.0440727802001333
ENSMUSG00000000148	1162.29803347496	0.891339343099981	0.18941669193665	4.70570641893635	2.52988373849611e-06	1.46965060500562e-05
ENSMUSG00000000149	1079.13295847085	1.69596299247497	0.228445994775135	7.42391213356291	1.13710610579372e-13	2.34613907409832e-12
ENSMUSG00000000154	3.58841580949688	0.429340982188541	1.49274293698869	0.287618833457454	0.773638526783713	NA
ENSMUSG00000000157	0.643001291143681	-16.4738351165866	287.116160807683	-0.0573768995456203	0.954244964173271	NA
ENSMUSG00000000159	7.88419028210961	-15.4724413098863	287.778522875068	-0.0537651008675283	0.957122314756867	0.978811683624664
ENSMUSG00000000167	16.4446259080216	1.56159114952713	1.48278574403725	1.05314685942105	0.292273689225421	0.433643109461382
ENSMUSG00000000168	1127.56475080456	-0.171813594140455	0.243722514044227	-0.704955776507694	0.480837757673215	0.652950393345323
ENSMUSG00000000171	2469.01931158445	0.601331896695984	0.264810959275616	2.27079686709686	0.0231592777023176	0.0502414106238698
ENSMUSG00000000182	1.54361044714825	-20.3953300972859	471.192012476073	-0.0432845412427733	0.965474713974396	NA
ENSMUSG00000000183	0.48107582593124	-14.8871246702844	275.143885095888	-0.0541066891786319	0.956850162862563	NA
ENSMUSG00000000184	11413.0212540035	0.656727298632021	0.241349976621487	2.72105805778459	0.00650733316231664	0.0165995081346758
ENSMUSG00000000194	2228.48863583314	0.136728161135118	0.294775510468324	0.463838264304559	0.642763626383016	0.823100264470011
ENSMUSG00000000197	0.729124489120919	-15.728739970578	263.641884474536	-0.0596594884835045	0.952426837738641	NA
ENSMUSG00000000202	3.24753110421327	4.97900933410436	2.57006563707984	1.93730823924077	0.0527076757082542	NA
ENSMUSG00000000204	12.2774430477831	-1.38149667257255	0.860117478303084	-1.60617207232911	0.108236107753188	0.188279890537867
ENSMUSG00000000214	0.601207011033442	18.1011707099004	271.197111107505	0.0667454407459559	0.946784358459766	NA
ENSMUSG00000000215	0.0528004159126405	1.45894165178158	397.217795461698	0.00367290103426965	0.99706945556034	NA
ENSMUSG00000000216	1.76795772224435	20.4775746090925	263.29591931758	0.0777739915687529	0.938007835488778	NA
ENSMUSG00000000223	36.3933783217671	-2.48135338146424	1.07265428932778	-2.31328341866724	0.020707061734891	0.0456105277642524
ENSMUSG00000000244	5139.41215481661	1.21275489996824	0.326492407186834	3.71449648834941	0.000203608697113559	0.000770910762039415
ENSMUSG00000000247	65.7641895851574	1.9074596703403	0.309287327538942	6.16727392460052	6.94773415288751e-10	7.85754671147887e-09
ENSMUSG00000000248	26.0844696793286	-23.0173418092959	256.464906558312	-0.0897485044569344	0.928487070452904	0.978811683624664
ENSMUSG00000000253	14.6168111774139	2.14049713176842	0.695268793780527	3.07866130468686	0.00207932929413345	0.00608202230289843
ENSMUSG00000000263	2.61248923769387	-16.0665955285209	256.581742173075	-0.062617844093066	0.950070819770143	NA
ENSMUSG00000000266	40.396807620131	-5.20696156250581	0.715788000448394	-7.27444656692205	3.47843521905592e-13	6.63362541227726e-12
ENSMUSG00000000275	4137.44289299666	-1.27273516604866	0.192315880059044	-6.61794109596103	3.64236094293332e-11	5.07202072540686e-10
ENSMUSG00000000276	1360.22898460092	-1.74613525082516	0.189993292411398	-9.19050998413248	3.90983256725772e-20	1.72890448418669e-18
ENSMUSG00000000278	1318.68997499662	-0.0743248741594529	0.499254665712372	-0.148871666634103	0.881654898791175	0.978811683624664
ENSMUSG00000000282	3809.07246200879	0.643110778091799	0.308398421541289	2.08532448018933	0.0370398567627967	0.0756885952441054
ENSMUSG00000000290	15508.0731506829	1.38780026194868	0.138357953100904	10.0305058787373	1.11941591348518e-23	7.02736278541005e-22
ENSMUSG00000000295	425.735309323582	0.674791674263092	0.264576382859017	2.55046072884995	0.0107580643480834	0.0256550825847244
ENSMUSG00000000296	0.828371629906978	1.4586566851627	397.671118356114	0.00366799754327765	0.997073367953742	NA
ENSMUSG00000000301	32.5672305083679	-1.30525530912826	0.484738142541926	-2.69270188288385	0.00708756115526551	0.0178536420786566
ENSMUSG00000000303	43.3885628126452	3.68529420054278	0.69663422175298	5.29014235227961	1.22221196343112e-07	9.26432797459051e-07
ENSMUSG00000000305	2.75891933029454	2.42204129231397	1.86500275792348	1.29867973761643	0.194053860598225	NA
ENSMUSG00000000308	19.1699567415285	-3.47920919833151	0.901561495939993	-3.85909249008465	0.000113808862618156	0.000454641830283714
ENSMUSG00000000317	5.44902583553474	0.774097089547954	1.0975761504276	0.705278708221181	0.480636808025068	0.652770106629023
ENSMUSG00000000318	1.16513689014125	-14.8260831026835	286.99482454363	-0.0516597577195319	0.958799803086107	NA
ENSMUSG00000000320	8.45940959556364	-1.03980790930262	0.978018825489046	-1.0631778061968	0.287701325124702	0.428084093621213
ENSMUSG00000000325	147.433296014858	2.29494404100831	0.479460434530377	4.78651391382517	1.69703179437804e-06	1.02211600399359e-05
ENSMUSG00000000326	1234.56242745656	1.11919398910836	0.218025652046208	5.1333133445745	2.84685353598518e-07	2.00399649461427e-06
ENSMUSG00000000339	607.47746526989	1.56175101388409	0.506054202243462	3.0861338705626	0.00202777504202825	0.0059484922214976
ENSMUSG00000000340	555.4574833261	0.100229307947758	0.348155820339361	0.287886348848228	0.773433736803332	0.950753451372201
ENSMUSG00000000346	11975.4032515066	-0.254051486715059	0.27232625040026	-0.932893859264977	0.35087477324925	0.504104395843279
ENSMUSG00000000355	1112.7206599145	-0.525418504382585	0.359908748818686	-1.45986588574783	0.14432693657334	0.240989609712196
ENSMUSG00000000359	0.210378473298004	1.46921525229163	383.527192280636	0.00383079813338651	0.996943472789584	NA
ENSMUSG00000000365	10.5463656358856	1.68589986326817	1.05705194581196	1.59490729849911	0.110732967294522	0.191925782998843
ENSMUSG00000000374	4364.2131612912	-0.998005781080998	0.211933522149301	-4.70905107865821	2.48872704039445e-06	1.44881899186478e-05
